,,d,d,d
920414386795184129,"I stalked someone I was in love with online for years, and I'm ashamed of it to this day. I'm never getting near girls again #ididit #metoo https:// twitter.com/sallylepage/st atus/920356912604033024 …",1,1,2
919934983560499201,"#metoo I have been sexually harassed, mostly in high school.",1,1,2
919875400179863552,When I was in the Air Force they randomly forced me to give them a cup of my pee... #MeToo #WhatILearnedToday @DocThompsonShow @KAL79,1,1,2
921347272427954176,My dad tried following him but he got away and I couldn’t even describe the disgusting things he was doing outside the car. #metoo,1,1,2
921862401170972672,The #MeToo Movement Is Feminist BS: http:// christinesmith.us/wordpress/2017 /10/21/the-metoo-movement-is-feminist-bs/ …,1,2,
919927511437291520,#MeToo Yes metro city's ultra feminists are trying to finish male community since they worship dildo god . This is scary,1,2,
921394355100880898,You mean like when a pretty women uses looks to steal a job from an ugly one? #metoo,1,2,
921564824684892161,She knows she was asking for it. I paid her well too. #MeToo,1,2,
924411823465512960,"Can apply this principle to abuse of POC, indigenous people, disabled.... And on to environment. Systemic economic change needed! #MeToo",2,,
920030388201934849,#metoo having my manger telling me to wear more sexy clothes because it sells more items (it’s a shoe store btw),1,1,2
920023599821524996,Everytime I cross a green light -I check both sides. Not because Im wrong to cross - but because I can't stop everyone else that is #metoo,2,,
921173090989522945,People are writing #MeTo instead of #MeToo . I've lost hope. Humanity is doomed. What's next? #Mewtwo ?,1,3,
921140265296986113,"English teacher harassed me, molested other boy. Fired quietly. Hired by performing arts school, retiring celebrated. Rape culture. #MeToo",1,1,2
920307819571802112,Got called a prude because I wouldn't lift up my shirt for a guy. I was 17. #MeToo,1,1,2
921460740812431362,Thirteen is when I was first catcalled. A thread. Two of my friends and I were walking back to my house. Like five guys called at us. #metoo,1,1,1
919947420573884417,"From one of the 'me too' posters. I think we Can agree 'none' of this is in the grey zone - #metoo I wasn't going to join the huge list of women on the ' metoo ' campaign because I haven't suffered a serious assault. But like most women, I have been grabbed, pushed, pulled,",1,1,2
920626682125578240,"So the #MeToo has me thinking: if teen pregnancy & STDs are big enough that sex ed progs are beginning to address them, why not assault? 1/",1,3,
920259989125718017,"#metoo alone on a bus in another country. I was told later I should have just gone with it.""""",1,1,2
9.23627E+17,"maybe the will become a ghost, you know like your career",2,,
920630720648962048,"Could the me #metoo be used in the workplace... a pin/wristband to be worn by victims, so they can recognise each other and act together?",1,3,
920099374373490688,He told me that he knew I liked him. So he was doing me a favor. He made me tell him how big he was. #MeToo,1,1,2
920146784202174464,#MeToo owner's son of the place I worked exposed himself &amp; made comments at me during work. Mom apologized but not him; Left shortly after,1,1,2
920923373022142464,"Feels like only yesterday I was tweeting #metoo and last night I was followed home, alone at 1am am I manifesting this bollocks fucking hell",1,1,2
919885675297570822,"Groped at work. Burst into tears. Male boss took female colleague aside & said pls talk to her, this is normal in India. #MeToo #NotHappy https:// twitter.com/Sanaaaesha/sta tus/919856771761504257 …",1,1,3
919946911934754816,I've been grabbed by strangers in clubs. Almost dragged away from my friends once. Received inappropriate comments at work. #MeToo,1,1,2
922004354709753856,"#metoo ignores that women who face #sexualharassment were often hired because of how they look, stealing jobs from ugly women. #injustice",1,2,
919954805841432577,Because I don't know how to work those computers - they're too confusing. (4/Cont.) #MeToo https:// twitter.com/HumbleHomie/st atus/919951793106415616 …,2,,
919985634495926273,". Scratched on the back by an employer at a party, asked what my boyfriend would make of that #metoo",1,1,2
920326052009955328,When Corporate American burn you out in every which way. #Entrepreneurship because #metoo,2,,
920069411679166464,A Conservative Comedian Just Made A Sexist “Joke” Amid #MeToo And Quickly Paid For It http:// ift.tt/2gffn6g http:// ift.tt/2gffn6g,1,1,1
921447230535499776,#MeToo artwork in @ManhattanTimes_ Image/text @andreaarroyoart Available in English/Spanish http://www. manhattantimesnews.com/me-too/ pic.twitter.com/RaAmuivAbE,2,,
919995024733016064,"Just had some asshole comment on my sexy little ass"" in the gas station while I was paying to fill up my gas #metoo""",1,1,2
923634975198666752,one detached thought after all this metoo bullshit is if you have ever been asked to go to therapy and you haven't.....go to goddamn therapy,1,3,
920136072687894528,#MeToo These are all things that have actually been said to me. pic.twitter.com/9n7RH0Ugo4,1,1,1
920099235340607488,"my supervisor sexually assaulted me in view of cameras at work but nobody saw anything, apparently"" the cameras weren't recording. #metoo""",1,1,3
920016841786900480,I had a boss who would ask the women if we would like to get a raise. Then he would tell us to sit on his lap. #MeToo,1,1,2
921683790203883521,My daddys best friend did finger my mom under the table. I cried. #metoo,1,1,2
920293058494828544,I got cat called while paying for parking for an interview this morning. #metoo,1,1,1
920913999067312130,Bayonetta killed me off the top #MeToo,2,,
920089707165376513,As an RA in college I responded to a call and was cornered by a football player who threatened me with rape if I told on him #MeToo,1,1,2
919942960237678592,"Saturday a guy asked if I was married, how many guys were @my table, how many of them had crushes on me.."" this is mild for a bar. #MeToo""",1,1,2
920286267622834176,"#MeToo not all men menace women, but all women have been menaced by men. I woke up to him undressing me when I had told him NO hours before",1,1,3
924074636513603584,"I'm no lawyer, but isn't that slander? Calling sooo many women liars? #MeToo",1,3,
919923040150007808,"#MeToo I received major award & at the ceremony head of hospital presented the award and said I bet she looks good with no clothes on too""""",1,1,2
919957459673985025,"#MeToo On a bus trip, I had a drunk male co-worker push his way into my room and try to assault. Another employee intervened. Still has job.",1,1,3
921869834794647552,"I’m not just going as an SJW for Halloween, I’m going to be a Slutty Social Justice Warrior! #SJW #Halloween #MeToo",1,2,
920035746471469056,"#metoo because i had to consider if i could even make this tweet as i have never been physically touched but instead, cat called, stared at.",1,1,1
919948521020592128,"#MeToo Catcalls starting at 16, harassment from coworkers, friends, strangers. At least 2 attempted assaults. I want more for my daughter",1,1,2
920064293625782274,#MeToo because my first BF shamed me for not wanting to try kinky things in sex because he could easily find someone else to do those things,1,1,2
919884760972849153,#MeToo Fuck you for luring me under the guise of having a meal n trying to have your way with me by telling me sex with your WIFE was boring,1,1,2
920676189018230784,"Hate to be this bitch but men, please stop trying to make #metoo about you. It’s the equivalent of saying all lives instead of BLM.",1,2,
920000670165585920,"I can’t even remember all the times I was sexually harassed. It happens so often, and from such a young age, they all become a blur #MeToo",1,1,2
919902996141694976,"As a result, 75% of all workplace harassment incidents go unreported altogether."" #MeToo https:// twitter.com/voxdotcom/stat us/919549390867648512 …""",1,1,2
923716738478374917,"YEP. #HR is really there to protect the company, not the worker. #metoo #career #sexualharassment http://www. forbes.com/sites/vanessam cgrady/2017/10/23/metoo/ …",1,1,2
920083168639750150,kids mimic what they are taught/see. are you a good example for your sons? do you teach no means no? or do u say boys will be boys? #metoo,1,3,
920870641171095552,#metoo was created for a good reason but I always roll my eyes when girls like her are using it,1,2,
920001636222820352,"From sexual assault, to being groped by senior male colleagues, to every day"" humiliating comments in personal and professional life #MeToo""",1,1,2
920080366748274688,Oh! A couple weeks ago I was harrassed by guys on three separate streets on the same walk downtown to see my bf #metoo,1,1,1
920116366866374656,#MeToo Coach at San Benito High School in 1995 invited me over to his house to enjoy hot tub time while his wife... http:// fb.me/754iSv9fl,1,1,2
920304502590312448,"She gave a blowjob of her own free will (albeit when 16) for a job, and now she's calling it rape. #MeToo is turning into girls crying wolf https:// twitter.com/NolteNC/status /920302633516175362 …",1,2,
920368255587487744,#MeToo so shared my story of black men sexually harassing me and get called a racist. I live in a predominately black area and I'm white,1,1,2
920651908922126336,I had an awful discussion where a man basically called #metoo sexist for neglecting to include men.,1,2,
923075264904511488,Something I won't be supporting. Can anyone remember why I won't support this event? #MeToo,1,2,
920403518070038528,Hey! I have a question about the metoo hashtag! Is the tag for stories of women's harrassment or harrassment in general?,1,3,
920026122116583424,"#metoo : harrasement from university professor. Administration knows, but does nothing. Year ago they told me they'll take care about it.",1,1,2
920724990382796801,"#MeToo 3rd time adult party, I was leaving the table, my dads friend grabbed me and pulled me to sit on his lap, while his wife smiled @me",1,1,2
920755104202088448,3/3 and in current context #metoo - down right reactionary. I know it is fast food TV but it makes stinky BBC burps for 52% of population https:// twitter.com/thinkdodiff/st atus/920753720081768449 …,2,,
924967023310004225,"Even the most ferocious rivers of Truth can be dammed, but nature laughs last. A tidal wave is coming, burst from pressure of time. #MeToo",2,,
921437694558982144,At a local #Labour AGM and the (not Corbynite) chair told a sexist 'joke'. Punchline was basically how disposable women are #metoo #misogyny,1,1,1
919866496632975363,"#metoo yuppie on subway @nite sat 2 seats away on platform, beat off. chased me up subway steps, dragged me by coat down steps & fin on me",1,1,2
919945515063697410,My second cousin locked me in his car while he forced himself on me. And to think he would get me home safe if I asked for a ride. #MeToo,1,1,3
920645633928826880,MVP's from OSU game! #WednesdayWisdom  #SgtLaDavidJohnson  #MeToo https://t.co/B8R9xP6e6Y,2,,
919976792219320320,"#MeToo Opposed the war in Iraq, told I deserve to be raped to death by ragheads"" by a miliary vet (aware they're not all like this).""",1,1,2
923693431703998465,"She’s in a land where 25% of girls are abused by 18, in an industry with Weinstein and worse. THIS is her metoo story? Something is fishy.",1,3,
920405599426244608,"#metoo When I told my boss I was groped, touched and kissed against my will. ( at work) had to run out the building to get away...",1,1,2
920916108005257217,That time the guy behind the bar told me that I had change coming. #MeToo pic.twitter.com/JXJgQY8ybB,2,,
920437813300154368,Twitter is a joke! #ObamaLegacy #TuesdayThoughts #metoo,2,,
923540926861103104,I believe lesbians are very aggressive and they have toxic femininity. Many times I´ve been harassed by lesbians. I wish they stop. #MeToo,1,2,
919877504386650113,"it's when some rando riding by on a bike asks you how much you charge for a handjob. You're wearing jeans, tshirt and sneakers btw #metoo",1,1,2
920812435841282049,"#MeToo age 27 in a room full of men, Boss said aloud how my shirt nicely hugged and accentuated my breasts",1,1,2
919958877906653184,I've been stalked. I've been forced. I've been inappropriately spoken to. I've been told I made myself a target. #MeToo,1,1,2
920067588176138240,Random drunk guys at the train station stroking my hair telling me to “get my tits out”. #MeToo,1,1,2
920341015663398912,I guess my biggest problem with #metoo is putting the pressure on victims to raise awareness/cause change,1,2,
921102968623071232,“See what happens when you don’t listen? I told you not to go to the party. ” #MeToo,1,1,2
920335314073407493,Yesterday I bought a pack of #Oreos thinking they were orange but it turns out they were penaut butter which I dont like #MeToo,2,,
919943244687044608,#metoo remembering one incident where I was working in a kitchen and the head chef would make inappropriate comments to me.,1,1,1
919973813642768384,"Well with regards to the whole #metoo I just got cat-called by two men, with their elderly mother, who also joined in... #nextlevel",1,1,1
924345394837979143,Stranger Things 2 episode 1... more like episode all of them #MeToo,2,,
919833232237121536,Owner of the company I worked for who started soliciting me after FIVE days on the job. #MeToo,1,1,2
920292999703269376,"He was my boss, thought it was OK to grab me and kiss me. #MeToo",1,1,3
919937723066126336,"In my high school workplace, I was harassed. I turned him in and felt guilty about it. #MeToo",1,1,2
920110351546572800,Lyft driver kept locking the door and wouldn't let me out until I gave him my number. Told me he knew my address now. #MeToo,1,1,2
922990407784583170,watching 4 virgins have a meeting about haters and sexual harassment is the funniest thing I've seen in a while #MeToo,1,2,
920946503161733125,Is there an innocent comments between colleagues? #GMCSHOUT #MeToo @gmczimbabwe @kathy_manase @jsnetzim @tarywacho @GenderLinks @Meschar,1,3,
922491368953532417,It's a bot.,2,,
920068701931626497,"TdayI signaled my co-worked that he had big arm muscles as a friendly gesture, his answer “ and you have nice ass, can I grab it?” #metoo",1,1,2
920048025954914304,have you ever felt insecure just because you're walking alone through men? have you ever been catcalled by those men? #MeToo,1,1,1
920052653463429121,For the uncountable amount of times myself and people I know have been grabbed in clubs and shouted at on the street #MeToo,1,1,2
920075211977916417,"I developed early. I remember the boys cheering "" me on in gym, being asked how much money to lift my shirt. #metoo""",1,1,2
920275377083371521,One time I eating a banana and I fell and it went up inside! I had to pray extra hard after! God bless! #Trump2020 #MeToo #SexualAssault,2,,
923519244322660352,Sen ?,2,,
920656048683327489,It shall be quite the pinnacle of human achievement when sex robots claim: #MeToo ... #AI,2,,
920056540513443840,"#MeToo recently cat calls, asked for a kiss by a stranger and inappropriate comments.",1,1,2
919919530532519937,"A guest once tried to stroke my cheek while asking for another round. I told him if he touched me, he would be cut off #metoo",1,1,2
920427084169826306,Gain 500+ followers real quick!! Retweet Follow everyone Follow back #TrapaDrive #NaijaFollowTrain #GainWithXtianDela #MeToo pic.twitter.com/gAiu8NlOOV,2,,
921025582816673793,Why do strange men think it's ok to touch my tats? #notok #metoo #flashback Admire from a distance. Keep your fucking hands to yourself.,1,1,2
920762226918686720,#MeToo my boss in the restaurant I worked at the time slapped me on the arse and told me to get back to work. In full view of customers.,1,1,3
923276176142974976,#MeToo why is this not considered sexual harassment? That's a serious question.,1,3,
920353280017887232,"I've been sexually harassed at nearly every job. One boss said, I can really tell the difference when you don't wear a sports bra."" #MeToo""",1,1,2
925094645046169600,"#metoo Showed a girl I work with my Crypto portfolio balance in the elevator and she was all like wow, it's so big""""",2,,
924393513197981697,What’s fun is his UTTER frustration that the counter-narrative of Clinton being the REAL Russian cutout isn’t taking hold.,2,,
920786305805627399,#Metoo I have been sexually harassed at high school by a former student named Thomas Baek from when I was 18 until I was 23!!!!!!,1,1,2
920051142347849728,"If youre suggesting that men shouldn't share their experiences with this hashtag, or that they're hijacking"", you're a piece of shit #MeToo""",1,3,
920030982794866693,have u ever thought that people tweeting #metoo could be lying in attempt to give men a worse image than they already have,1,3,
920375392330027009,#MeToo comes from a religious tradition that overwhelmingly (and often exclusively) images and imagines God as a cisgender male.,1,3,
920092590237560832,By my @Cisco rep repeatedly while I was working at a @CiscoReseller as a #CCSE #MeToo (and my boss knew & laughed),1,1,2
920341557101891584,How fucking hard is it to just SHUT THE FUCK UP when something is not your fucking business?! #Metoo is not for you. SHUT UP SHUT UP SHUT UP! https:// twitter.com/KTHopkins/stat us/919934255169507328 …,1,3,
920421877096570880,JFC I just saw a dude mansplain to a friend about how she was doing her #metoo post wrong bc she didn’t hashtag it ?????????,1,1,1
921691709809070080,"In a week when the sexual abuse of women has been top of the agenda, thanks to #MeToo are you really advertising this? Really?",1,3,
920210962665410560,What's with this #MeToo I'm seeing everywhere??,1,3,
924237541422915590,"Is there a #MeToo for #GenderDiscrimination ? Been there, done that. Not pleasant and had no justice.",1,1,1
919926722879000579,So add my name to the long list of women who have had to deal with repeated sexual harassment and assault. #MeToo,1,1,2
919915280842874880,#MeToo in my years of college i used to in bus. One day i left so late and aboard the bus and an old men sat next to me,1,1,1
922290437855043585,"#MeToo Abuse isn’t always man on woman. Just some food for thought. I am not exactly the hold hands and sing Kumbaya type, but victims do run the gamut. So don’t start a fucking witch hunt.",1,2,
921377373286694913,"Yep, I was sexually harassed by a company leader. And I paid for it. #metoo",1,1,2
920240360076513280,99% of you women are guilty of saying something sexual to a guy in a bar or about a neighbor. Words aren't assault. NOT #metoo (3/4),1,2,
920326349356699653,"#metoo was created by Tarana Burke 10 years ago but of course white people took it & decided to run w it, removing Tarana from the movement",1,2,
921832834280587265,#MeToo doesn't say all men are evil or scary....,1,3,
919898884905807872,Coworker I had to sit three feet across from for years always had to tell me that his penis was uncircumcised and describe it to me. #MeToo,1,1,2
920401930169364482,"Sexual harassment circa 1814. My sweet honey, I hope you are to be let with the lodgings."" ""No, Sir, I am to be alone."" #MeToo pic.twitter.com/uqloY8gskq""",1,1,1
920030143107751938,"#MeToo cw assault Been groped by strangers, 'friends', followed home, one guy ground on me without even trying to get my attention first",1,1,2
919995198570147841,"The guys on public transport, the stranger who grabbed my face and force kissed me on the lips in the street, and the rest #MeToo",1,1,2
920585384257605633,#MeToo America's REAL rape problem has a color: black.  https://t.co/OD1ZXhVSGV,1,2,
919916419244089346,#MeToo Pinups in the lab . Pornography tucked into my on-call bed Men in dept felt entitled to discuss women's appearance almost constantly,1,1,1
920170168361410561,#metoo you shouldn’t have to not want to go to school because youre worried youll be called a slut because you dated a senior (im a virgin),1,1,1
921152392741060609,"#metoo x 2 not too heinous. my what nice a patellas you have"" & some sleazy commercial photographer pressing up against me in the dark room""",1,1,1
920776676535042048,Saw an insta post switching the narrative from #MeToo to #HimThough and I'm so here for it. Men u might want to hold onto your edges. Or not pic.twitter.com/PFwavbpB1B,1,2,
922889515001290753,Los Angeles is melting. I'm trying not to sweat to death. Some creep feels free to comment on my legs. #MeToo,1,1,1
921544720194600960,"Instead of #MeToo , may I suggest the #F *ckThat campaign? (1 of 3)",1,3,
920723032901111808,"#WednesdayWisdom Rise up! Shafted by #universalcredit , abused #MeToo , Don’t want #Brexit . So many reasons to rebel yet nothing!",2,,
923511233554370562,. @MarkHalperin #GodSpeed It saddens me that every one wants to jump on the band wagon of #metoo . George H.W. Bush being accused also. Pretty good company.,1,2,
919963826900144128,Reminder: Survivors don’t owe you their story. #MeToo https:// twitter.com/apbenven/statu s/919902089110872064 …,1,3,
920051835326439424,So am I meant to post a #metoo for each time I've been harassed? Or just the times I've actually sighted a penis in the process?,1,3,
919990510873432064,"In a one-on-one tutoring session, my learner grabbed my knee and told me that a woman's only purpose was to his bear kids. #MeToo",1,1,2
920029831701467136,Told a doctor/therapist about sexual assault.They assumed I made it up. There is a culture of dismissal about women and abuse. #metoo,1,1,1
925049678479183873,"Franco is trying on swimsuits and he needs me #metoo """"",2,,
920366043087953921,Can you really suffer sexual harassment if your non binary? Left wing bimbo bullshit! #metoo https:// twitter.com/MickBruck/stat us/919711028018954240 …,1,3,
919861792943366145,"#MeToo Why is it OK for women to say I have a cute ass"" at workplace? #DoubleStandard""",1,1,2
919821245654425600,I live in Miami. Tough town. Mad Max dramatics don't work here. It's an attitude thing. If you look scared you're a mark. #MeToo https:// twitter.com/csillars17/sta tus/919778534188609536 …,2,,
921365926087360512,"Nothin like being called a filthy subhuman c*nt"" b4 breakfast. Just another day on the internet being a woman with opinions. #MeToo""",1,1,1
920115446904270848,"Months after my graduation. The same classmate sent me his numb. On fb telling me: I'll do anything to Make you so happy"" #MeToo""",1,1,1
920101900820901888,"#metoo Powerful client followed me for hours after company dinner, bought me scotch, told me to drink up""""",1,1,1
919913494341935104,"Super annoyed with the but what about me"" and ""not all men"" comments from men on just about all my female friends #MeToo posts.""",1,2,
920704597265612800,"And the most memorable part, was that he didn't start antagonizing me until he felt I was encroaching upon his power. #MeToo",1,1,1
920056982459084800,1st abuser took everything from me 100's of times age 4-11. Groped repeatedly in my teens. Forced oral on a bf before he would drive me home @15. Physically and sexually assaulted by next bf for 2 yrs. groped repeatedly as a hairstylist. Sent sex vid by boss. #metoo,1,1,3
920325465230979072,"#MeToo , But What Should I Say? 3 Tips To Decide http:// ift.tt/2kWxG5x #Finance #Investments #ROIMentor",2,,
919978081552617472,"#MeToo bc I was just catcalled by a car, which then TURNED AROUND to follow me as I walked around a park in a SWEATER during my lunchbreak.",1,1,1
920058937931681792,"#MeToo humiliated by ex husband (FBI).He cheated with 30+prostitutes. Infidelity/divorce normal"" now so seems my fault for trusting him?""",1,1,1
920374726199005184,#MeToo 1 of my bosses used to make the worst sexist jokes. I didn't laugh. he said I was too stupid to get the joke in front of everyone,1,1,1
920413041371566082,#MeToo I was 12 and it was my Great Uncle. Worst part is my mom knew what he was and offered me up to keep him happy to stay in his will.,1,1,3
925036179325575168,#MeToo watch cbs this morning asking a black movie star to take his shirt off “swat” if I asked a girl to take her shirt off IM GOING TO??,1,1,1
922114718344638464,The latest AAAmbler's Newsfeed! https:// paper.li/f-1434466667?e dition_id=55c37060-b739-11e7-b435-0cc47a0d15fd … #metoo #retirement,2,,
920670632148459520,Something I’ve been thinking about alongside #MeToo : Why do we still treat violent and homophobic abuse of LGBT youth as typical “bullying”?,1,3,
920040013466947585,"U were about 30 years older than me, when I finally through the terror manage 'STOP', u shrug & say u just wanted to have some fun #MeToo",1,1,1
919984016610156545,#MeToo,1,2,
920388209506422788,"Ok, #MeToo , If you’re really serious then start naming the perpetrators. Get the law involved and put a stop the the sexual harassment.",1,3,
921485608039706624,#SexualHealth | The answer to #MeToo is better sex education - Michigan Radio https:// goo.gl/fb/fhCaeH,1,3,
920040339364372480,#metoo - in 2013 on the green line some drugged up creep sat next to me and put his hand on my leg.,1,1,2
919909056755781632,"#MeToo Milions more than anyone will ever realize. He was a trusted"" relative.""",1,1,3
920057625173266432,"In middle school a man slapped my ass, in highschool I was told I was the reason little girls get raped"", in college I was roofied #MeToo""",1,1,3
919903773065203712,#metoo I worked as a waitress at a club and a night where no guy commented about my butt or boobs or tried to grope me did not exist,1,1,2
919845507576373249,1. What is sexual harassment? #MeToo,1,3,
920313094114381824,#MeToo .. filed a complaint against a boss as suggested 2 wks later I was fired .. with no help from the union https:// twitter.com/nytimes/status /920165155316600832 …,1,1,1
923675124796096513,Idolerna - We Are The World ( Metoo Stockholm) 22/10-2017: http:// youtu.be/Sk6_qSh2Knw?a via @YouTube,2,,
